order_id,order_purchase_timestamp,order_delivered_customer_date,order_estimated_delivery_date,lead_time,delivery_delay,is_delayed,customer_state,seller_state,product_category_name_english,price,freight_value,total_value
e481f51cbdc54678b7cc49136f2d6af7,10/2/2017 10:56,10/10/2017 21:25,10/18/2017,8,-8,0,SP,SP,housewares,29.99,8.72,38.71
53cdb2fc8bc7dce0b6741e2150273451,7/24/2018 20:41,8/7/2018 15:27,8/13/2018,13,-6,0,BA,SP,perfumery,118.7,22.76,141.46
47770eb9100c2d0c44946d9cf07ec65d,8/8/2018 8:38,8/17/2018 18:06,9/4/2018,9,-18,0,GO,SP,auto,159.9,19.22,179.12
949d5b44dbf5de918fe9c16f97b45f8a,11/18/2017 19:28,12/2/2017 0:28,12/15/2017,13,-13,0,RN,MG,pet_shop,45,27.2,72.2
ad21c59c0840e6cb83a9ceb5573f8159,2/13/2018 21:18,2/16/2018 18:17,2/26/2018,2,-10,0,SP,SP,stationery,19.9,8.72,28.619999999999997
a4591c265e18cb1dcee52889e2d8acc3,7/9/2017 21:57,7/26/2017 10:57,8/1/2017,16,-6,0,PR,SP,auto,147.9,27.36,175.26
6514b8ad8028c9f2cc2374ded245783f,5/16/2017 13:10,5/26/2017 12:55,6/7/2017,9,-12,0,RJ,SP,auto,59.99,15.17,75.16
76c6e866289321a7c93b82b54852dc33,1/23/2017 18:29,2/2/2017 14:08,3/6/2017,9,-32,0,RS,SP,furniture_decor,19.9,16.05,35.95
e69bfb5eb88e0ed6a785585b27e16dbf,7/29/2017 11:55,8/16/2017 17:14,8/23/2017,18,-7,0,SP,SP,office_furniture,149.99,19.77,169.76000000000002
e6ce16cb79ec1d90b1da9085a6118aeb,5/16/2017 19:41,5/29/2017 11:18,6/7/2017,12,-9,0,RJ,ES,garden_tools,99,30.53,129.53
e6ce16cb79ec1d90b1da9085a6118aeb,5/16/2017 19:41,5/29/2017 11:18,6/7/2017,12,-9,0,RJ,ES,garden_tools,99,30.53,129.53
34513ce0c4fab462a55830c0989c7edb,7/13/2017 19:58,7/19/2017 14:04,8/8/2017,5,-20,0,SP,RS,computers_accessories,98,16.13,114.13
82566a660a982b15fb86e904c8d32918,6/7/2018 10:06,6/19/2018 12:05,7/18/2018,12,-29,0,MG,SP,perfumery,31.9,18.23,50.129999999999995
5ff96c15d0b717ac6ad1f3d77225a350,7/25/2018 17:44,7/30/2018 15:52,8/8/2018,4,-9,0,SP,SP,bed_bath_table,19.9,12.8,32.7
432aaf21d85167c2c86ec9448c4e42cc,3/1/2018 14:14,3/12/2018 23:36,3/21/2018,11,-9,0,SP,SP,toys,38.25,16.11,54.36
dcb36b511fcac050b97cd5c05de84dc3,6/7/2018 19:03,6/21/2018 15:34,7/4/2018,13,-13,0,GO,DF,perfumery,132.4,14.05,146.45000000000002
403b97836b0c04a622354cf531062e5f,1/2/2018 19:00,1/20/2018 1:38,2/6/2018,17,-17,0,RJ,SP,construction_tools_construction,1299,77.45,1376.45
116f0b09343b49556bbad5f35bee0cdf,12/26/2017 23:41,1/8/2018 22:36,1/29/2018,12,-21,0,SC,SP,telephony,27.99,15.1,43.089999999999996
85ce859fd6dc634de8d2f1e290444043,11/21/2017 0:03,11/27/2017 18:28,12/11/2017,6,-14,0,SP,SP,bed_bath_table,17.9,11.85,29.75
83018ec114eee8641c97e08f7b4e926f,10/26/2017 15:54,11/8/2017 22:22,11/23/2017,13,-15,0,BA,SP,telephony,76,16.97,92.97
203096f03d82e0dffbc41ebc2e2bcfb7,9/18/2017 14:31,10/9/2017 22:23,9/28/2017,21,11,1,SP,SP,health_beauty,109.9,8.96,118.86000000000001
f848643eec1d69395095eb3840d2051e,3/15/2018 8:52,3/19/2018 18:08,3/29/2018,4,-10,0,SP,SP,health_beauty,79.99,8.91,88.89999999999999
2807d0e504d6d4894d41672727bc139f,2/3/2018 20:37,2/8/2018 16:13,2/21/2018,4,-13,0,SP,SP,electronics,9.5,7.78,17.28
95266dbfb7e20354baba07964dac78d5,1/8/2018 7:55,1/26/2018 17:32,2/21/2018,18,-26,0,SC,SP,baby,129.99,57.58,187.57
f3e7c359154d965827355f39d6b1fdac,8/9/2018 11:44,8/13/2018 18:24,8/17/2018,4,-4,0,SP,SP,stationery,89.9,14.21,104.11000000000001
fbf9ac61453ac646ce8ad9783d7d0af6,2/20/2018 23:46,3/21/2018 22:03,3/12/2018,28,9,1,RJ,SP,cool_stuff,109.9,15.53,125.43
acce194856392f074dbf9dada14d8d82,6/4/2018 0:00,6/16/2018 15:20,7/18/2018,12,-32,0,BA,SP,baby,90.9,48.64,139.54000000000002
acce194856392f074dbf9dada14d8d82,6/4/2018 0:00,6/16/2018 15:20,7/18/2018,12,-32,0,BA,SP,baby,39.5,48.64,88.14
dd78f560c270f1909639c11b925620ea,3/12/2018 1:50,3/21/2018 14:41,3/28/2018,9,-7,0,SP,SP,perfumery,47.9,12.79,60.69
91b2a010e1e45e6ba3d133fa997597be,5/2/2018 11:45,5/16/2018 20:56,5/23/2018,14,-7,0,SP,SP,watches_gifts,178.99,13.69,192.68
ecab90c9933c58908d3d6add7c6f5ae3,2/25/2018 13:50,3/27/2018 23:29,4/13/2018,30,-17,0,RR,PR,garden_tools,30.1,33.24,63.34
f70a0aff17df5a6cdd9a7196128bd354,8/10/2017 11:58,8/18/2017 14:28,8/23/2017,8,-5,0,SP,SP,baby,279,34.19,313.19
1790eea0b567cf50911c057cf20f90f9,4/16/2018 21:15,5/5/2018 12:28,5/15/2018,18,-10,0,PE,SP,air_conditioning,186.9,38,224.9
989225ba6d0ebd5873335f7e01de2ae7,12/12/2017 13:56,1/3/2018 18:03,1/8/2018,22,-5,0,SP,PR,furniture_decor,49,14.1,63.1
d887b52c6516beb39e8cd44a5f8b60f7,2/3/2018 12:38,2/22/2018 0:07,3/7/2018,18,-13,0,RJ,SP,toys,84.9,15.35,100.25
